Entrada,paginas,Gall,Port,Fr,Val,Cat,Prov,Cast,Mall,Vasc,Lat,Rum,Alb,It
BULYÁN,61,None,None,None,None,None,None,None,None,None,bulla,None,None,None
BUNÉL,62,None,None,None,None,None,None,None,None,None,None,None,None,None
BUNYÓL,62,None,vinholci,vignole,Bunyól,None,None,viñuela,None,None,vineola,None,None,vignola
BUNYÓLA,62,None,None,None,None,None,None,None,None,None,None,None,None,None
BUÑÓL,62,None,None,None,None,None,None,None,None,None,None,None,None,None
BÚRBULA,62,None,bolha,bulle,burbulla,burbuja,bulla,y,None,bibilla,bulla,None,None,None
BURÉL,63,None,None,None,None,None,None,None,None,None,None,None,None,None
BURRIÉL,63,None,brucho,bruche,None,None,None,pr,None,None,brucus,None,None,None
BUS,63,None,None,buce,None,busci,bus,buscio,None,None,bucea,None,None,None
BUTBUTA,63,None,None,None,babóta,None,None,babosa,None,None,babota,None,None,None
BUTH,63,None,embude,None,ambut,embut,embut,embudo,None,embutía,imbotare,None,None,None
BUTHENIA,64,None,None,None,None,None,None,None,None,None,None,None,None,None
BUTHIJIELLA,64,None,None,None,None,None,None,None,None,None,None,None,None,None
BUTÍA,64,None,None,None,None,None,None,None,None,None,None,None,None,None
BUX,64,None,None,None,None,None,None,AL,None,None,None,None,None,None
CABALLAR,65,None,cava,None,caballar,caballar,None,None,None,None,caballaris,None,None,None
CABÁLYO,65,cabalo,é,cheval,caball,caball,caval,caballo,None,None,caballus,cal,None,caballo
CABAL,65,None,None,None,caballo,caballo,None,caballón,None,None,None,None,None,cavallo
CABANA,65,cavána,None,cabane,cabanya,cabanya,y,cabana,None,None,cabana,None,None,capanna
CABB,66,None,None,None,capoll,capoll,None,capullo,None,None,capidulum,None,None,None
CABBÚSA,66,None,None,None,capoll,capoll,None,capullo,None,None,capidulum,None,None,None
CABCÍLA,67,None,None,None,None,None,None,cabecilla,None,None,capitellum,None,None,None
CABÉISA,67,None,None,None,None,None,None,None,None,None,None,None,None,None
CABESÉIRO,67,None,None,None,None,None,None,None,None,None,ca,None,None,None
CABESEIRUELA,67,None,None,None,None,None,None,None,None,None,del,None,None,None
CÁBITHA,68,None,cahega,cap,cahega,None,cap,cabeza,None,None,None,None,None,capo
CÁBRA,68,None,cabra,chevre,None,None,cabra,None,None,None,capra,capra,None,None
CABRÓN,68,None,ca,None,cabro,cabro,None,cabrón,None,None,capro,None,None,None
CÁBSA,69,caixa,caxa,caisse,y,None,caissa,caja,None,None,capsa,None,None,cassa
CÁCHULA,69,None,None,None,None,None,None,None,None,None,cacahus,None,None,None
CAILÓJ,70,None,None,None,None,None,None,None,None,luquza,vulpeSy,None,None,None
CAITHÁRA,70,None,None,None,None,None,None,None,None,None,None,None,None,None
CALA,70,None,None,None,None,None,é,ggr,None,None,None,None,None,None
CALABALA,71,cabala,calabaza,calebasse,caraha,carhassa,None,calabaza,None,calabaza,None,None,None,cucuzza
CALABÁCHA,72,None,None,None,None,None,None,None,None,None,None,None,None,None
CALABÁSA,72,None,None,None,None,None,None,calabaza,None,None,cucúrbita,None,None,None
CALAHÓRRA,72,None,None,None,None,None,None,calahorra_,None,None,None,None,None,None
CÁLBO,74,None,None,None,None,None,None,None,None,None,None,None,None,None
CALCARIÓN,74,None,None,None,None,None,None,lechera,None,None,cal,None,None,None
CALLÁL,76,None,None,None,None,None,None,callecer,None,None,callus,None,None,None
CALLAS,76,None,None,None,None,None,None,calcar,None,None,calciare,None,None,None
CALLÁUTA,76,None,None,None,None,None,None,None,None,None,None,None,None,None
CALLO,77,None,None,None,None,None,None,None,None,None,None,None,None,None
CALMÚN,77,None,None,None,None,None,None,None,None,None,culmen,None,None,None
CALÓCA,77,None,choca,None,llóca,y,clussa,clueco,None,None,None,None,None,None
CALVÍL,79,None,None,None,None,None,None,calvi,None,None,None,None,None,None
CALVO,79,None,é,chauve,None,None,calv,None,None,None,cahus,calv,None,calvo
CAMALEÓN,79,None,camaleao,cameleon,camalleó,camalleó,cameleon,camaleón,None,None,Gr,None,None,None
CÁMARA,79,None,None,None,None,None,None,None,None,None,None,None,None,None
CAMARÓN,80,None,None,None,None,None,None,None,None,None,None,None,None,None
CAMBÚX,80,None,None,None,None,None,None,None,None,None,None,None,None,None
CAMÍN,82,None,None,None,None,None,None,None,None,None,None,None,None,None
CANAL,84,None,None,canal,None,None,canáu,None,None,None,canalis,None,None,canale
CANÁXTHA,84,None,None,None,None,None,None,None,None,None,None,None,None,None
CANBÚX,84,None,None,None,None,None,None,None,None,None,None,None,None,None
CÁNCALA,84,None,A,None,None,None,None,None,None,None,None,None,None,None
CANDAR,84,None,None,None,None,None,None,None,None,None,None,None,None,None
CANDELÁIRA,84,CandeUria,Candelaria,Chandeleur,Candelera,None,Candelairo,Candelaria,None,Can,Cande,None,None,Candellara
CAN,85,None,None,None,None,None,None,None,None,camisa,None,None,None,None
CÁNE,86,can,cao,chien,None,None,can,None,None,None,canis,cáne,kjen,cáne
CANÉT,86,None,None,None,None,None,None,None,None,None,None,None,None,None
GAÑÍN,86,None,diente,None,None,None,None,diente,None,None,caninus,None,None,None
CANÍNA,86,None,None,None,None,None,None,None,None,None,None,None,None,None
CANÍNO,86,None,é,caniny,cani,cani,canin,caña,None,cañahera,caninus,None,None,canino
CANNÁL,87,None,None,None,None,None,None,None,None,None,None,None,None,None
CANNÁRIA,87,None,None,None,None,None,None,None,None,None,None,None,None,None
CANNÁZ,88,None,None,None,None,None,None,cañal,None,None,usó,None,None,None
CANNÉT,88,None,None,None,None,None,None,cañal,None,None,canetum,None,None,canneto
CANNÍCH,88,cañizo,None,None,canyip,canyts,canisso,None,None,None,cannitius,None,None,None
CANNÚD,89,None,None,None,None,None,None,None,None,None,None,None,None,None
CANNUTÍCH,89,None,None,None,None,None,None,None,None,None,None,None,None,None
CANTHABÁR,90,None,None,None,None,None,None,None,None,None,None,None,None,None
CANÚD,91,None,None,None,None,None,None,None,None,None,None,None,None,None
CÁNWAL,91,None,cabo,None,cap,cap,None,cabo,None,None,None,None,None,None
CAPA,92,None,None,e,None,None,ca,None,None,ca,capa,None,None,cappa
CAPAN,92,None,None,None,None,None,None,None,None,None,None,None,None,None
CAPÁNA,92,None,None,None,None,None,None,None,None,None,None,None,None,None
CAPARA,92,None,None,None,None,None,None,None,None,None,None,None,None,None
CAPEL,94,y,chapeo,chapeau,capéll,capéll,capel,capelo,None,None,capellus,None,None,capello
CAPÍL,95,None,None,None,capell,capell,None,capilla,None,None,None,None,None,None
